volcano,volc_type,class,latitude,longitude,h,wb,slopemeantot,ei,ii,AzimAxisBaseMax,h/wb,cov
AnilaoHill,scoria cone,Small flat cone,13.909236,121.17872,36.1952,239.99398,22.5368,1.20298,1.14014,74.0546,0.15081707,13.43524885
BigainHill1,dome,Small flat cone,13.895479,121.076,164.704,1216.73,16.4521,2.71511,1.09291,117.378,0.13536636,18.22609507
BigainHill2,dome,Small flat cone,13.901266,121.06499,68.7975,614.65034,15.333,1.33533,1.09303,124.249,0.11192952,21.59745616
Buboy,scoria cone,Small flat cone,14.096301,121.24313,83.205,921.95393,15.6507,4.15172,1.13576,58.3328,0.090248579,31.00490946
BuhoMalasakot1,dome,Small steep cone,14.024064,121.45161,169.196,976.54434,25.794,1.2931,1.06944,20.5907,0.1732596,10.74564454
BuhoMalasakot2,dome,Small steep cone,14.011318,121.44442,271.157,1172.0039,29.6684,1.23325,1.05032,110.807,0.23136163,7.871128084
BuhoMasalakot3,dome,Small flat cone,13.992444,121.4053,47.4537,1001.5187,9.59352,1.5236,1.4147,42.0585,0.047381778,13.25658624
BuhoMasalakot4,scoria cone,Small steep cone,13.974909,121.45439,153.053,810.6507,23.1978,1.60702,1.08484,115.115,0.18880296,19.42354945
Bulalo,dome,Small steep cone,14.103201,121.22882,279.955,2118.2288,18.6567,1.67704,1.14729,45.5131,0.13216452,29.85524539
LaMesa,dome,Small flat cone,14.16143,121.16589,144.54,2710.9339,9.81139,1.28891,1.02389,11.7598,0.053317311,26.89856854
Lansay,scoria cone,Small flat cone,14.129381,121.40528,48.7914,456.6061,16.7691,3.48149,1.17271,65.7387,0.10685658,28.42746825
Macolod1,dome,Small flat cone,13.947676,121.32741,75.7386,2553.0793,4.73651,1.4777,1.10511,9.50121,0.029665583,30.30881015
Macolod10,scoria cone,Small steep cone,14.112421,121.30427,245.446,1160.4383,22.5883,1.37665,1.02596,25.7581,0.21151171,14.15327237
Macolod11,scoria cone,Small flat cone,14.107732,121.31231,137.013,861.44878,21.1235,1.46858,1.03655,61.0112,0.1590491,15.76553563
Macolod12,,Small flat cone,14.099644,121.30612,59.9826,588.40401,15.1463,2.4703,1.12126,15.611,0.10194118,39.01881365
Macolod13,scoria cone,Small flat cone,14.086418,121.29539,31.0039,300.58376,13.2295,1.38567,1.17002,142.696,0.10314577,28.96395027
Macolod14,scoria cone,Small flat cone,14.097611,121.28692,39.6697,324.02559,16.2197,1.97237,1.02481,104.744,0.12242756,31.01921512
Macolod15,dome,Small steep cone,14.117683,121.21343,106.534,575.67546,30.6559,2.2443,1.00422,41.5526,0.18505849,10.95537499
Macolod16,dome,Small steep cone,14.12351,121.21912,107.869,609.37137,25.6977,2.06251,1.13573,60.8192,0.17701748,13.85005008
Macolod17,dome,Small flat cone,14.15722,121.24961,47.3049,347.76373,19.9632,1.99879,1.00422,147.619,0.13602592,22.57224456
Macolod18,dome,Small steep cone,14.159674,121.25158,93.3464,485.73949,26.7435,2.14847,1.0624,47.6838,0.19217385,16.53700765
Macolod19,scoria cone,Small flat cone,14.195775,121.23834,77.6852,494.81254,20.5211,2.20963,1.18424,81.8699,0.15699928,19.54384491
Macolod2,dome,Small flat cone,14.041433,121.43982,145.233,1522.4043,18.6795,1.7188,1.24722,23.9625,0.095396831,35.26121749
Macolod20,scoria cone,Small flat cone,14.201372,121.16539,45.5062,321.13938,16.7847,1.53732,1.01217,121.264,0.14170239,27.06968892
Macolod21,dome,Small flat cone,14.173392,121.13495,24.5403,455.69896,8.3183,1.3334,1.016,93.8141,0.053852012,20.64489285
Macolod22,scoria cone,Small flat cone,14.161639,121.15195,106.607,469.91852,19.8353,2.19699,1.07089,166.149,0.22686302,37.18494619
Macolod23,scoria cone,Small flat cone,14.152856,121.15573,93.1673,536.33137,19.5972,1.37811,1.02919,70.0169,0.17371216,26.47618533
Macolod24,dome,Small flat cone,14.148719,121.16428,64.8281,555.15571,17.4866,2.15726,1.14112,6.76619,0.1167747,23.47422566
Macolod25,dome,Small steep cone,14.136608,121.15831,84.8234,415.98796,25.7766,1.82742,1.01997,38.8298,0.20390829,19.03088125
Macolod26,dome,Small flat cone,14.117679,121.14712,24.0332,724.97145,5.6274,1.44329,1.14584,104.511,0.033150509,23.65692599
Macolod27,dome,Small flat cone,14.092642,121.12339,36.9299,960.25773,6.41873,1.72386,1.00949,138.289,0.038458338,28.00079936
Macolod28,scoria cone,Small steep cone,14.03628,120.97079,248.936,964.23552,30.276,1.74651,1.23034,55.042,0.25816974,25.24139512
Macolod3,dome,Small flat cone,14.05621,121.39139,85.4506,1228.1414,11.8895,1.72664,1.10819,70.8936,0.069577135,29.2167991
Macolod30,scoria cone,Small flat cone,13.998442,120.98477,62.994,574.69318,23.4453,3.41562,0.998655,58.4957,0.10961322,20.98511642
Macolod31,scoria cone,Small flat cone,13.98594,120.98095,50.1629,407.71838,15.8417,1.94874,1.05323,144.834,0.12303325,18.18355156
Macolod32,scoria cone,Small flat cone,13.980202,120.97558,69.6466,693.99266,12.5114,2.31055,1.16636,54.3148,0.10035639,56.11373597
Macolod4,scoria cone,Small steep cone,14.077313,121.43217,77.2474,454.89498,28.1252,1.24141,1.02612,174.352,0.16981365,15.41397723
Macolod5,dome,Small flat cone,14.092268,121.42462,115.658,1269.7408,14.6913,1.24834,1.0526,157.57,0.091087609,42.74479495
Macolod6,scoria cone,Small steep cone,14.120012,121.38298,73.251,385.65211,24.4941,1.56456,1.0518,67.2856,0.18994055,17.8856239
Macolod7,scoria cone,Small flat cone,14.142479,121.39732,61.5467,684.45588,15.6519,2.78363,1.16088,81.8057,0.089920679,29.25862546
Macolod8,scoria cone,Small flat cone,14.156346,121.3962,84.1158,678.67653,17.809,1.53272,1.00507,52.75,0.12394086,25.40238362
Macolod9,scoria cone,Small flat cone,14.132684,121.35886,121.054,769.14494,21.1214,1.05292,1.00379,174.958,0.15738735,17.59508364
Malauban,scoria cone,Small flat cone,14.126945,121.39919,81.3941,568.34402,15.3005,1.39101,1.00932,58.4957,0.14321271,24.90396897
Olilia,dome,Small flat cone,14.077831,121.21406,166.891,1572.6482,12.6516,1.47581,1.06855,22.0206,0.10612095,30.70113372
Tombol,scoria cone,Small flat cone,13.848932,121.20648,74.4295,475.25628,20.0917,1.88451,1.12723,87.8524,0.1566091,25.17783072
